,MKT-RF,SMB,DTERM,DCREDIT,PTFSBD,PTFSFX,PTFSCOM,Liquidity
MKT-RF,1.0,0.18167614266426302,0.034277074592370255,-0.356146120331788,-0.17592051929863517,-0.1868857291299292,-0.1554048045622822,0.13788833377021864
SMB,0.18167614266426302,1.0,0.05223559481511616,-0.22733278185541517,-0.03498706010804918,0.01757987125657789,-0.014975113309095985,0.08342989782474208
DTERM,0.034277074592370255,0.05223559481511616,1.0,-0.4788266728760093,-0.13553197348222812,-0.17472588565940764,-0.08341653427451799,0.09204902900229076
DCREDIT,-0.356146120331788,-0.22733278185541517,-0.4788266728760093,1.0,0.15972090773824846,0.28950297700208344,0.1920957210275908,-0.3896922224054625
PTFSBD,-0.17592051929863517,-0.03498706010804918,-0.13553197348222812,0.15972090773824846,1.0,0.18959066974128003,0.16249846380077262,-0.05140860356731772
PTFSFX,-0.1868857291299292,0.01757987125657789,-0.17472588565940764,0.28950297700208344,0.18959066974128003,1.0,0.3415260774782948,-0.12910221074174455
PTFSCOM,-0.1554048045622822,-0.014975113309095985,-0.08341653427451799,0.1920957210275908,0.16249846380077262,0.3415260774782948,1.0,-0.09148557724899692
Liquidity,0.13788833377021864,0.08342989782474208,0.09204902900229076,-0.3896922224054625,-0.05140860356731772,-0.12910221074174455,-0.09148557724899692,1.0
