style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Convertible Arbitrage,model1,Intercept,0.0016,1.46,0.41,0.41,0.0011168227589342015,0.9964007877571709,0.3204156663626254,180,0.42606693470706625,0.4195818153252252,ols,-0.0004831772410657986,-0.4635992122428291,0.01606693470706627,0.00958181532522523,0.0004831772410657986,0.4635992122428291,True,False,False,True
Convertible Arbitrage,model1,MKT-RF,0.2094,8.5,0.41,0.41,0.21562917607389018,8.44605522347161,1.0642036592252987e-14,180,0.42606693470706625,0.4195818153252252,ols,0.006229176073890175,-0.05394477652838958,0.01606693470706627,0.00958181532522523,0.006229176073890175,0.05394477652838958,True,True,True,True
Convertible Arbitrage,model1,Liquidity,1.2795,6.08,0.41,0.41,1.3898720205037947,6.511356745375919,7.434743986121168e-10,180,0.42606693470706625,0.4195818153252252,ols,0.11037202050379458,0.4313567453759193,0.01606693470706627,0.00958181532522523,0.11037202050379458,0.4313567453759193,True,True,True,True
Convertible Arbitrage,model2,Intercept,0.0026,2.8,0.61,0.59,0.0022283303258964033,2.345886402192496,0.020128528732390835,180,0.6152352476773634,0.5972345575102225,ols,-0.00037166967410359655,-0.45411359780750393,0.005235247677363386,0.007234557510222506,0.00037166967410359655,0.45411359780750393,True,True,True,True
Convertible Arbitrage,model2,MKT-RF,0.1232,5.4,0.61,0.59,0.13011005815565574,5.569935656724388,9.72638126942698e-08,180,0.6152352476773634,0.5972345575102225,ols,0.006910058155655735,0.16993565672438748,0.005235247677363386,0.007234557510222506,0.006910058155655735,0.16993565672438748,True,True,True,True
Convertible Arbitrage,model2,SMB,0.0232,0.92,0.61,0.59,0.020453284830133183,0.7874066885944021,0.4321338618901046,180,0.6152352476773634,0.5972345575102225,ols,-0.0027467151698668153,-0.13259331140559794,0.005235247677363386,0.007234557510222506,0.0027467151698668153,0.13259331140559794,True,False,False,True
Convertible Arbitrage,model2,DTERM,-0.0274,-6.15,0.61,0.59,-0.022578298796002164,-4.932941108733996,1.908192350712408e-06,180,0.6152352476773634,0.5972345575102225,ols,0.004821701203997837,1.2170588912660047,0.005235247677363386,0.007234557510222506,0.004821701203997837,1.2170588912660047,True,True,True,True
Convertible Arbitrage,model2,DCREDIT,-0.0564,-8.0,0.61,0.59,-0.05816597881872917,-7.972737636982681,2.1161855259319649e-13,180,0.6152352476773634,0.5972345575102225,ols,-0.0017659788187291692,0.02726236301731877,0.005235247677363386,0.007234557510222506,0.0017659788187291692,0.02726236301731877,True,True,True,True
Convertible Arbitrage,model2,PTFSBD,-0.0069,-1.09,0.61,0.59,-0.010315675760444041,-1.5905842815739872,0.11355020335738886,180,0.6152352476773634,0.5972345575102225,ols,-0.003415675760444041,-0.5005842815739872,0.005235247677363386,0.007234557510222506,0.003415675760444041,0.5005842815739872,True,False,False,True
Convertible Arbitrage,model2,PTFSFX,-0.0058,-1.13,0.61,0.59,-0.006110684376328576,-1.1721043835602531,0.24278554753606132,180,0.6152352476773634,0.5972345575102225,ols,-0.00031068437632857625,-0.042104383560253256,0.005235247677363386,0.007234557510222506,0.00031068437632857625,0.042104383560253256,True,False,False,True
