,mean,std,min,max
MKT-RF,0.003074444444444445,0.04433871547117449,-0.172,0.0818
SMB,0.0009277777777777777,0.03737962737267687,-0.1741,0.2125
DTERM,-0.01861111111111111,0.23894031392561255,-1.1099999999999999,0.6499999999999999
DCREDIT,0.022722222222222217,0.17626741541774224,-0.25000000000000044,1.4500000000000006
PTFSBD,-0.007591666666666669,0.14973627948448148,-0.2595,0.6886
PTFSFX,0.008303333333333331,0.19925232421206687,-0.3013,0.9027
PTFSCOM,0.0012877777777777766,0.13780134014946827,-0.2304,0.6475
Liquidity,-2.427678715473376e-05,0.005303143656257241,-0.030663986747068023,0.01587248379065053
RF,0.003108888888888889,0.0014095955634116546,0.0,0.005600000000000001
