return_excess_mode,style_mapping_variant,liquidity_variant,term_credit_source,tstat_type,status,term_credit_source_used,is_paper_faithful,is_diagnostic,is_allowed_main,tier,coef_mae_all,tstat_mae_all,r2_mae,liq_coef_mae,liq_tstat_mae,liq_sign_match_rate,liq_sig_match_rate
subtract_ff_rf,strict_11_only,as_is,fred_monthly_average,ols,ok,fred_monthly_average,True,False,True,tier1_allowed,0.05253334953084138,1.1586204697234481,0.09436522161395482,0.2543405074550073,1.0900313132167525,1.0,0.9090909090909091
subtract_ff_rf,strict_11_only,as_is,fred_monthly_average,hac_3,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05253334953084138,1.5344646260305643,0.09436522161395482,0.2543405074550073,1.9476405933925458,1.0,0.5454545454545454
subtract_ff_rf,strict_11_only,as_is,fred_monthly_average,hac_6,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05253334953084138,1.5637695006066554,0.09436522161395482,0.2543405074550073,1.8052721500096949,1.0,0.6363636363636364
subtract_ff_rf,expanded_alias_map,as_is,fred_monthly_average,ols,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05253334953084138,1.1586204697234481,0.09436522161395482,0.2543405074550073,1.0900313132167525,1.0,0.9090909090909091
subtract_ff_rf,expanded_alias_map,as_is,fred_monthly_average,hac_3,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05253334953084138,1.5344646260305643,0.09436522161395482,0.2543405074550073,1.9476405933925458,1.0,0.5454545454545454
subtract_ff_rf,expanded_alias_map,as_is,fred_monthly_average,hac_6,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05253334953084138,1.5637695006066554,0.09436522161395482,0.2543405074550073,1.8052721500096949,1.0,0.6363636363636364
as_reported,strict_11_only,as_is,fred_monthly_average,ols,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05621660373876234,1.4941504456425518,0.09516449682947425,0.2741777762659008,1.2181309112717988,1.0,0.7727272727272727
as_reported,strict_11_only,as_is,fred_monthly_average,hac_3,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05621660373876234,1.7599060840741392,0.09516449682947425,0.2741777762659008,2.069824657657762,1.0,0.45454545454545453
as_reported,expanded_alias_map,as_is,fred_monthly_average,ols,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05621660373876234,1.4941504456425518,0.09516449682947425,0.2741777762659008,1.2181309112717988,1.0,0.7727272727272727
as_reported,strict_11_only,as_is,fred_monthly_average,hac_6,ok,fred_monthly_average,False,False,True,tier1_allowed,0.05621660373876234,1.7127661001505565,0.09516449682947425,0.2741777762659008,1.9266857768448957,1.0,0.5909090909090909
